frame,id,x1,y1,x2,y2,class,conf
1,1,794,470,864,566,player,0.9246804118156433
1,2,431,160,467,227,player,0.9229927062988281
1,3,839,187,873,247,player,0.9186925292015076
1,4,392,422,457,500,player,0.9175801873207092
1,5,140,266,190,347,player,0.9134364724159241
1,6,1086,345,1137,443,player,0.9115026593208313
1,7,704,82,733,128,player,0.9087743759155273
1,8,887,124,913,177,player,0.9080350995063782
1,9,370,154,405,217,player,0.9076900482177734
1,10,721,195,757,262,player,0.9002047181129456
1,11,1134,253,1181,338,player,0.8916469216346741
1,12,1239,146,1269,210,player,0.891013503074646
1,13,532,428,581,520,player,0.8738323450088501
1,14,559,94,582,145,player,0.8737006783485413
1,16,638,221,662,296,player,0.8431308269500732
1,17,494,430,540,519,player,0.8389577865600586
2,1,805,467,874,562,player,0.9235410094261169
2,2,443,160,480,227,player,0.9166935682296753
2,3,850,187,880,248,player,0.9063611626625061
2,4,404,421,462,498,player,0.9215489029884338
2,5,154,265,204,347,player,0.9128188490867615
2,6,1090,344,1149,441,player,0.9232962131500244
2,7,718,83,746,128,player,0.9018301963806152
2,8,900,125,923,177,player,0.89206463098526
2,9,382,155,419,216,player,0.9167324304580688
2,10,732,194,763,263,player,0.902168869972229
2,11,1148,255,1188,340,player,0.8891823887825012
2,12,1252,147,1280,211,player,0.8877137303352356
2,13,531,428,581,518,player,0.9126659035682678
2,14,570,95,596,145,player,0.8951587677001953
2,17,499,431,539,520,player,0.8606848120689392
3,1,814,465,884,560,player,0.932101845741272
3,2,456,160,494,227,player,0.922301709651947
3,3,862,187,891,248,player,0.9090131521224976
3,4,416,419,462,499,player,0.9102027416229248
3,5,165,264,216,347,player,0.9397380352020264
3,6,1090,344,1159,439,player,0.931969404220581
3,7,732,83,757,128,player,0.897929847240448
3,8,912,125,934,177,player,0.8980645537376404
3,9,396,155,431,216,player,0.9136344790458679
3,10,742,194,772,263,player,0.9107785820960999
3,11,1159,256,1193,340,player,0.8753717541694641
3,12,1266,152,1280,212,player,0.7780829071998596
3,13,535,429,578,517,player,0.8786166310310364
3,14,581,95,610,146,player,0.9098955988883972
3,17,501,432,541,515,player,0.7069786190986633
4,1,823,463,891,553,player,0.9273914694786072
4,2,468,161,507,226,player,0.9158585071563721
4,3,873,185,903,248,player,0.9302158355712891
4,4,427,417,466,498,player,0.9112707376480103
4,5,174,264,227,347,player,0.9218528866767883
4,6,1087,343,1146,439,player,0.92477947473526
4,7,745,83,766,127,player,0.9025725722312927
4,8,924,125,945,176,player,0.8818408250808716
4,9,409,154,444,216,player,0.9065746068954468
4,10,752,193,783,264,player,0.9051363468170166
4,11,1168,257,1196,340,player,0.8793870210647583
4,13,535,429,576,515,player,0.872503936290741
4,14,592,96,624,146,player,0.9114120006561279
4,17,501,434,544,514,player,0.8057293891906738
5,1,831,462,896,546,player,0.9180105924606323
5,2,481,161,519,226,player,0.9173690676689148
5,3,883,185,916,249,player,0.9244096279144287
5,4,435,416,479,498,player,0.9144559502601624
5,5,183,265,236,347,player,0.9310132265090942
5,6,1087,344,1140,440,player,0.9188684225082397
5,7,758,83,776,128,player,0.8925919532775879
5,8,936,125,958,176,player,0.894183874130249
5,9,423,154,455,216,player,0.9068099856376648
5,10,761,192,795,265,player,0.9285429120063782
5,11,1174,257,1206,340,player,0.8991789817810059
5,13,534,428,577,517,player,0.8677276968955994
5,14,604,97,636,147,player,0.9150806069374084
5,17,496,434,544,510,player,0.8166024088859558
6,1,840,460,899,545,player,0.9202136993408203
6,2,493,160,530,226,player,0.9148603677749634
6,3,890,185,928,248,player,0.9259871244430542
6,4,435,414,492,498,player,0.9105157256126404
6,5,193,266,241,347,player,0.914239764213562
6,6,1095,346,1139,441,player,0.9063209891319275
6,7,771,83,786,127,player,0.8769676685333252
6,8,948,124,971,178,player,0.8933074474334717
6,9,436,154,464,215,player,0.8893947005271912
6,10,770,193,806,266,player,0.9178492426872253
6,11,1183,257,1219,340,player,0.8949006199836731
6,13,542,427,580,516,player,0.8702211976051331
6,14,618,97,648,146,player,0.9192546606063843
6,17,493,436,547,500,player,0.8807852268218994
7,1,848,458,907,544,player,0.9338744878768921
7,2,505,159,541,225,player,0.9159243702888489
7,3,899,185,940,249,player,0.914074182510376
7,4,435,413,503,499,player,0.8911329507827759
7,5,202,266,245,346,player,0.904474675655365
7,6,1108,348,1138,442,player,0.8751387000083923
7,7,782,83,800,127,player,0.8795789480209351
7,8,960,124,984,178,player,0.9121027588844299
7,9,449,154,472,214,player,0.8884193301200867
7,10,781,194,818,266,player,0.9200484752655029
7,11,1192,256,1233,340,player,0.8920934200286865
7,13,547,424,584,515,player,0.8880365490913391
7,14,631,97,659,146,player,0.9157946705818176
7,17,499,440,546,514,player,0.7280507683753967
7,19,704,224,740,298,player,0.8331150412559509
8,1,854,455,917,544,player,0.9306391477584839
8,2,518,159,550,225,player,0.9025740623474121
8,3,909,185,951,249,player,0.9232804775238037
8,4,440,412,509,497,player,0.9318092465400696
8,5,212,266,248,345,player,0.8958171010017395
8,6,1115,348,1157,438,player,0.8869736194610596
8,7,795,83,813,127,player,0.8741261959075928
8,8,972,124,997,179,player,0.8950252532958984
8,9,461,154,480,215,player,0.8894155621528625
8,10,792,195,827,266,player,0.8916318416595459
8,11,1198,255,1246,341,player,0.9115219712257385
8,13,556,420,589,513,player,0.8897644877433777
8,14,643,96,670,146,player,0.9056385159492493
8,17,503,442,550,518,player,0.8747126460075378
8,16,714,224,754,298,player,0.9041897654533386
9,1,860,451,927,546,player,0.9169140458106995
9,2,530,158,559,225,player,0.8914734125137329
9,3,921,185,960,250,player,0.9188410639762878
9,4,450,411,517,496,player,0.9024569392204285
9,5,220,264,258,345,player,0.9068378210067749
9,6,1118,347,1158,439,player,0.8943583369255066
9,7,806,83,827,128,player,0.8726391792297363
9,8,984,125,1008,180,player,0.9033132791519165
9,9,473,153,492,214,player,0.8917518258094788
9,10,804,197,833,267,player,0.8802328109741211
9,11,1203,256,1258,343,player,0.9306260943412781
9,13,562,417,593,508,player,0.889208972454071
9,14,655,95,679,145,player,0.9027870893478394
9,17,507,442,551,519,player,0.8554149866104126
9,16,726,224,767,298,player,0.8622573614120483
10,1,866,449,935,541,player,0.9405536651611328
10,2,542,158,571,226,player,0.8946549892425537
10,3,934,186,968,251,player,0.9122714400291443
10,4,463,412,517,495,player,0.8982267379760742
10,5,230,263,269,345,player,0.9232360124588013
10,6,1121,347,1168,442,player,0.890622615814209
10,7,816,84,841,129,player,0.8892976641654968
10,8,998,126,1021,181,player,0.9004136323928833
10,9,484,154,506,215,player,0.8763646483421326
10,10,814,197,840,266,player,0.8878293633460999
10,11,1214,258,1269,344,player,0.9062378406524658
10,13,565,414,600,505,player,0.8649149537086487
10,14,668,95,689,146,player,0.9000239968299866
10,17,509,440,559,520,player,0.8983204364776611
10,16,739,224,780,298,player,0.8620761632919312
11,1,873,446,941,536,player,0.9299774765968323
11,2,555,158,584,226,player,0.9052118062973022
11,3,945,186,974,251,player,0.8926283717155457
11,4,472,411,521,493,player,0.8891781568527222
11,5,238,263,282,345,player,0.9205750823020935
11,6,1126,345,1178,442,player,0.8261774182319641
11,7,828,85,855,129,player,0.9049447774887085
11,8,1011,127,1032,182,player,0.9093768000602722
11,9,494,154,520,216,player,0.902092456817627
11,10,824,197,850,267,player,0.8921371102333069
11,11,1228,259,1279,345,player,0.8682814836502075
11,13,571,412,610,504,player,0.904960572719574
11,14,680,94,701,147,player,0.9058374166488647
11,17,512,439,567,521,player,0.48583123087882996
11,16,752,225,794,298,player,0.758477509021759
12,1,881,445,944,533,player,0.9350854158401489
12,2,567,159,598,226,player,0.9132373929023743
12,3,956,186,983,251,player,0.9098973274230957
12,4,472,410,529,487,player,0.896414577960968
12,5,242,263,293,345,player,0.9255335927009583
12,6,1125,345,1186,441,player,0.9222733974456787
12,7,841,85,869,129,player,0.8922485709190369
12,8,1023,128,1044,182,player,0.9016286730766296
12,9,503,155,534,216,player,0.9085764288902283
12,10,833,197,862,268,player,0.8852307796478271
12,11,1240,261,1280,345,player,0.8731412887573242
12,13,573,411,619,507,player,0.9050202965736389
12,14,692,95,714,147,player,0.8935781717300415
12,17,517,437,570,506,player,0.6777284145355225
12,36,767,225,806,298,player,0.8360373973846436
13,1,889,444,944,533,player,0.9079439043998718
13,2,579,159,612,226,player,0.9088073372840881
13,3,966,185,995,251,player,0.9146474599838257
